select count(*) as aggregate from `chat_mini` | 2 ()
select count(*) as aggregate from `chat_mini` | 0.21 ()
select * from `chat_mini` order by `id` desc limit 10 offset 0 | 0.28 ()
select * from `users` where `users`.`id` in (1) | 0.48 ()
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.26 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.21 (1, 1592797861, 1592797861)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.23 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.18 (1, 1592797861, 1592797861)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.23 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.23 (1, 1592797861, 1592797861)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.18 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.17 (1, 1592797861, 1592797861)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.21 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.2 (1, 1592797861, 1592797861)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.16 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.44 (1, 1592797861, 1592797861)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.25 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.23 (1, 1592797861, 1592797861)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.2 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.19 (1, 1592797861, 1592797861)select count(*) as aggregate from `chat_mini` | 1.7 ()
select count(*) as aggregate from `chat_mini` | 0.22 ()
select * from `chat_mini` order by `id` desc limit 10 offset 0 | 0.27 ()
select * from `users` where `users`.`id` in (1) | 0.48 ()
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.45 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.31 (1, 1592797869, 1592797869)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.24 (1)
